DISTRICT,SCHOOL,SCHOOL.LEVEL..x,X2009.2010.OVERALL.GRADE,X2009.2010.ENVIRONMENT.GRADE,X2009.2010.PERFORMANCE.GRADE,X2009.2010.PROGRESS.GRADE,X2008.2009.PROGRESS.REPORT.GRADE,X2010.2011.OVERALL.GRADE,X2010.2011.ENVIRONMENT.GRADE,X2010.2011.PERFORMANCE.GRADE,X2010.2011.PROGRESS.GRADE,X2009.2010.PROGRESS.REPORT.GRADE,BOROUGH
8,M.S. 301 Paul L. Dunbar,Middle,C,B,D,B,B,C ,C ,D ,C ,C,Bronx
8,P.S. 182,Elementary,B,B,C,B,A,B ,B ,C ,C ,B,Bronx
8,P.S. 075,Elementary,B,B,C,A,A,A ,C ,C ,A ,B,Bronx
8,P.S. 152 Evergreen,Elementary,A,B,C,A,A,A ,B ,B ,A ,A,Bronx
8,Urban Institute of Mathematics,Middle,B,B,B,B,A,B ,B ,B ,B ,B,Bronx
9,P.S. X114 - Luis Llorens Torres Schools,Elementary,B,B,D,B,A,F ,B ,D ,F ,B,Bronx
9,P.S. 035 Franz Siegel,Elementary,C,B,C,C,A,B ,B ,B ,C ,C,Bronx
9,I.S. 232,Middle,A,B,D,A,A,A ,B ,C ,A ,A,Bronx
9,P.S. 063 Author's Academy,Elementary,B,B,B,C,A,C ,B ,A ,D ,B,Bronx
9,P.S. 064 Pura Belpre,Elementary,C,B,D,B,A,D ,B ,D ,F ,C,Bronx
9,P.S. 110 Theodore Schoenfeld,Elementary,B,A,C,B,A,B ,B ,B ,C ,B,Bronx
9,P.S. 053 Basheer Quisim,Elementary,C,B,C,F,A,B ,C ,B ,B ,C,Bronx
9,P.S. 028 Mount Hope,Elementary,B,B,C,B,A,B ,A ,C ,C ,B,Bronx
9,J.H.S. 145 Arturo Toscanini,Middle,B,A,D,B,A,B ,A ,D ,B ,B,Bronx
9,Mott Hall III,Middle,A,B,C,A,A,A ,B ,B ,A ,A,Bronx
9,J.H.S. 022 Jordan L. Mott,Middle,C,B,F,B,A,C ,B ,F ,C ,C,Bronx
9,I.S. 313 School of Leadership Development,Middle,B,B,D,B,A,C ,C ,D ,C ,B,Bronx
9,New Millennium Business Academy Middle School,Middle,C,C,D,B,A,D ,C ,D ,F ,C,Bronx
9,P.S./M.S. 004 Crotona Park West,K-8,B,A,C,B,A,C ,B ,C ,C ,B,Bronx
9,I.S. 229 Roland Patterson,Middle,B,C,C,A,A,B ,C ,D ,A ,B,Bronx
9,P.S. 055 Benjamin Franklin,Elementary,C,C,D,C,A,B ,C ,D ,B ,C,Bronx
9,P.S. 042 Claremont,Elementary,A,B,C,A,A,C ,B ,C ,D ,A,Bronx
9,P.S. 132 Garret A. Morgan,Elementary,B,B,F,B,B,C ,C ,D ,B ,B,Bronx
9,P.S. X088 - S. Silverstein Little Sparrow School,K-3,B,A,B,A,,B ,B ,A ,B ,B,Bronx
9,Frederick Douglass Academy III Secondary School,High School,B,B,A,C,B,,,,,C,Bronx
9,I.S. X303 Leadership & Community Service,Middle,C,B,F,B,B,C ,A ,F ,C ,C,Bronx
9,J.H.S. 166 Roberto Clemente,Middle,,,,,,,,,,,Bronx
9,Bronx High School for Medical Science,Middle,B,B,C,B,A,B ,A ,C ,C ,B,Bronx
9,P.S. 163 Arthur A. Schomburg,Elementary,C,D,C,C,A,C ,C ,C ,C ,C,Bronx
9,"Bronx School for Law, Government and Justice",Middle,C,B,C,B,B,C ,B ,C ,C ,C,Bronx
9,Comprehensive Model School Project M.S. 327,Middle,A,A,B,A,A,B ,B ,B ,B ,A,Bronx
9,P.S. 230 Dr Roland N. Patterson,Elementary,C,C,D,C,A,C ,D ,D ,C ,C,Bronx
9,I.S. 339,Middle,B,C,D,B,A,D ,C ,D ,D ,B,Bronx
9,P.S. 109 Sedgwick,Elementary,A,A,B,A,A,B ,A ,B ,C ,A,Bronx
9,P.S. 126 Dr Marjorie H Dunbar,Elementary,B,C,D,B,A,A ,D ,C ,A ,B,Bronx
9,P.S. 236 Langston Hughes,K-2,B,A,C,B,,C ,B ,C ,C ,B,Bronx
9,P.S. 011 Highbridge,Elementary,B,F,D,A,A,D ,D ,D ,D ,B,Bronx
9,Bronx Writing Academy,Middle,A,D,C,A,B,C ,C ,D ,C ,A,Bronx
9,P.S. 090 George Meany,Elementary,,,,,,,,,,,Bronx
9,P.S. 002 Morrisania,Elementary,,,,,,,,,,,Bronx
9,P.S. 058,Elementary,C,D,D,B,C,D ,F ,D ,C ,C,Bronx
9,P.S. 070 Max Schoenfeld,Elementary,C,C,F,C,A,C ,C ,D ,C ,C,Bronx
9,Frederick Douglass Academy III Secondary School,Middle,C,C,F,C,C,,,,,C,Bronx
9,I.S. 219 New Venture School,Middle,B,C,D,B,A,C ,C ,D ,C ,B,Bronx
9,Urban Science Academy,Middle,B,C,D,B,A,C ,C ,D ,C ,B,Bronx
9,P.S. 170,K-2,B,A,B,B,,B ,A ,B ,C ,B,Bronx
9,P.S. 073 Bronx,Elementary,B,B,F,B,A,A ,B ,D ,A ,B,Bronx
9,Kappa,Middle,B,B,C,B,A,B ,A ,C ,B ,B,Bronx
9,P.S. 199X - The Shakespeare School,Elementary,A,B,B,B,A,A ,B ,B ,A ,A,Bronx
9,P.S. 204 Morris Heights,Elementary,A,A,A,A,A,B ,A ,B ,D ,A,Bronx
9,"Bronx School for Law, Government and Justice",High School,B,B,B,B,B,C ,B ,C ,C ,C,Bronx
9,I.S. 117 Joseph H. Wade,Middle,B,C,C,A,A,C ,B ,D ,B ,B,Bronx
9,Bronx High School for Medical Science,High School,B,B,A,B,A,B ,A ,C ,C ,B,Bronx
9,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,Middle,,,,,,A ,A ,C ,A ,,Bronx
10,P.S. 9 Ryer Avenue Elementary School,Elementary,C,D,D,D,A,C ,C ,C ,C ,C,Bronx
10,P.S. 226,Elementary,D,B,C,F,B,C ,B ,D ,B ,D,Bronx
10,Thomas C. Giordano Middle School 45,Middle,C,C,C,C,A,C ,C ,C ,C ,C,Bronx
10,P.S. 046 Edgar Allan Poe,Elementary,C,B,D,B,A,C ,C ,D ,C ,C,Bronx
10,P.S. / I.S. 54,Elementary,C,D,D,C,A,D ,F ,D ,D ,C,Bronx
10,P.S. 079 Creston,Elementary,,,,,,,,,,,Bronx
10,P.S./M.S. 280 Mosholu Parkway,K-8,A,A,B,A,A,B ,A ,B ,C ,A,Bronx
10,P.S. 3 Raul Julia Micro Society,K-8,A,C,C,A,A,B ,D ,C ,B ,A,Bronx
10,The New School for Leadership and Journalism,Middle,B,B,C,A,A,A ,A ,B ,A ,B,Bronx
10,P.S. 094 Kings College School,Elementary,C,D,D,B,A,C ,C ,D ,B ,C,Bronx
10,P.S. 20 P.O.George J. Werdan III,K-8,B,B,C,B,A,C ,B ,C ,C ,B,Bronx
10,P.S. 205 Fiorello Laguardia,Elementary,A,A,B,B,A,B ,A ,B ,C ,A,Bronx
10,P.S. X307 - Eames Place,Elementary,A,A,A,A,A,A ,A ,A ,B ,A,Bronx
10,P.S. 007 Kingsbridge,Elementary,C,B,D,C,A,A ,A ,C ,A ,C,Bronx
10,International School for Liberal Arts,High School,B,A,F,B,A,A ,A ,D ,A ,B,Bronx
10,I.S. 254,Middle,A,C,C,A,A,C ,C ,C ,C ,A,Bronx
10,CRESTON ACADEMY,Middle,,,,,,C ,A ,C ,C ,,Bronx
10,P.S. 059 The Community School of Technology,Elementary,B,B,D,B,A,B ,B ,C ,C ,B,Bronx
10,Theatre Arts Production Company School,High School,A,A,A,A,A,C ,B ,C ,C ,B,Bronx
10,P.S. 207,K-2,C,A,F,B,,C ,B ,B ,C ,C,Bronx
10,P.S. X037 - Multiple Intelligence School,K-8,B,C,C,B,A,C ,C ,C ,C ,B,Bronx
10,P.S. 396,Elementary,B,A,B,B,A,B ,B ,B ,C ,B,Bronx
10,Jonas Bronck Academy,Middle,A,A,B,A,A,B ,A ,B ,C ,A,Bronx
10,P.S. 159 Luis Munoz Marin Biling,Elementary,B,A,B,B,A,C ,A ,C ,D ,B,Bronx
10,P.S. 023 The New Children's School,K-2,C,A,F,B,,B ,B ,C ,B ,C,Bronx
10,P.S. 246 Poe Center,Elementary,C,B,D,B,A,B ,B ,C ,B ,C,Bronx
10,P.S. 306,Elementary,C,B,F,F,A,D ,C ,D ,D ,C,Bronx
10,In-Tech Academy (M.S. / High School 368),High School,B,B,F,B,C,B ,B ,C ,B ,B,Bronx
10,"P.S. 279 Captain Manuel Rivera, Jr.",K-8,B,B,D,B,A,B ,A ,C ,B ,B,Bronx
10,P.S. 024 Spuyten Duyvil,Elementary,C,F,C,B,A,B ,D ,C ,B ,C,Bronx
10,The Angelo Patri Middle School,Middle,B,B,D,B,A,C ,B ,D ,B ,B,Bronx
10,P.S. 051 Bronx New School,Elementary,B,A,C,B,A,A ,A ,C ,A ,B,Bronx
10,P.S. 315 Lab School,K-8,A,A,B,A,A,A ,A ,A ,B ,A,Bronx
10,J.H.S. 118 William W. Niles,Middle,C,D,D,B,A,C ,C ,C ,C ,C,Bronx
10,P.S. 340,Elementary,B,A,C,B,A,C ,A ,C ,D ,B,Bronx
10,West Bronx Academy for the Future,Middle,C,A,C,D,A,C ,A ,C ,C ,C,Bronx
10,P.S. 085 Great Expectations,Elementary,C,C,D,B,A,C ,C ,D ,C ,C,Bronx
10,P.S. 033 Timothy Dwight,Elementary,A,B,C,A,A,C ,B ,C ,C ,A,Bronx
10,P.S. 360,Elementary,B,B,D,B,A,C ,C ,C ,C ,B,Bronx
10,P.S. 209,K-2,A,A,B,B,,B ,A ,B ,B ,A,Bronx
10,M.S. 390,Middle,C,B,D,C,A,B ,A ,C ,B ,C,Bronx
10,P.S. 091 Bronx,Elementary,B,C,C,A,A,C ,F ,C ,B ,B,Bronx
10,Ampark Neighborhood,Elementary,,,,,,C ,C ,C ,F ,,Bronx
10,Theatre Arts Production Company School,Middle,B,A,C,C,A,C ,B ,C ,C ,B,Bronx
10,P.S. 291,Elementary,B,A,B,B,A,B ,A ,B ,C ,B,Bronx
10,EAST FORDHAM ACADEMY FOR THE ARTS,Middle,,,,,,A ,B ,C ,A ,,Bronx
10,School for Environmental Citizenship,K-3,F,B,F,F,,F ,B ,D ,F ,F,Bronx
10,M.S. 399,Middle,,,,,,,,,,,Bronx
10,International School for Liberal Arts,Middle,B,A,F,B,A,A ,A ,D ,A ,B,Bronx
10,I.S. 206 Ann Mersereau,Middle,B,B,C,B,A,C ,B ,C ,C ,B,Bronx
10,P.S. 095 Sheila Mencher,K-8,B,D,C,B,A,C ,F ,C ,C ,B,Bronx
10,P.S. X015 Institute for Environmental Learning,K-8,A,A,B,A,A,A ,A ,A ,B ,A,Bronx
10,P.S. 310 Marble Hill,Elementary,A,B,C,A,A,D ,B ,C ,D ,A,Bronx
10,J.H.S. 080 The Mosholu Parkway,Middle,B,C,D,B,A,C ,D ,D ,C ,B,Bronx
10,Bronx Dance Academy School,Middle,B,C,C,B,A,B ,A ,C ,B ,B,Bronx
10,P.S. 056 Norwood Heights,Elementary,A,A,C,A,A,A ,A ,C ,A ,A,Bronx
10,In-Tech Academy (M.S. / High School 368),Middle,B,A,C,B,A,B ,B ,C ,B ,B,Bronx
10,P.S. 032 Belmont,Elementary,A,A,A,A,A,B ,A ,A ,F ,A,Bronx
10,P.S. 008 Issac Varian,Elementary,B,C,C,A,A,B ,C ,C ,B ,B,Bronx
10,P.S. 086 Kingsbridge Heights,Elementary,A,A,C,A,A,A ,A ,B ,B ,A,Bronx
10,West Bronx Academy for the Future,High School,C,B,F,C,B,C ,A ,C ,C ,C,Bronx
10,P.S. 081 Robert J. Christen,Elementary,C,B,C,D,A,C ,B ,C ,C ,C,Bronx
11,M.S. 180 Dr. Daniel Hale Williams,Middle,B,B,C,B,A,C ,A ,C ,C ,B,Bronx
11,P.S. 106 Parkchester,Elementary,B,A,C,B,A,B ,B ,C ,B ,B,Bronx
11,Aspire Preparatory Middle School,Middle,C,D,D,C,B,F ,F ,D ,F ,C,Bronx
11,P.S. 083 Donald Hertz,K-8,C,A,C,C,A,B ,B ,C ,B ,C,Bronx
11,P.S. 068 Bronx,Elementary,B,A,C,C,A,B ,C ,C ,B ,B,Bronx
11,P.S. 160 Walt Disney,Elementary,C,B,D,B,A,C ,C ,C ,B ,C,Bronx
11,P.S. 089 Bronx,K-8,C,F,D,B,A,C ,D ,D ,B ,C,Bronx
11,P.S. 175 City Island,K-8,C,B,C,C,A,C ,C ,C ,D ,C,Bronx
11,P.S. 078 Anne Hutchinson,Elementary,C,C,F,B,A,B ,C ,C ,B ,C,Bronx
11,J.H.S. 144 Michelangelo,Middle,C,B,D,B,A,C ,D ,D ,C ,C,Bronx
11,P.S. 105 Sen Abraham Bernstein,Elementary,B,B,C,B,A,C ,B ,C ,C ,B,Bronx
11,P.S. 041 Gun Hill Road,Elementary,A,A,B,A,A,A ,B ,B ,A ,A,Bronx
11,P.S. 108 Philip J. Abinanti,Elementary,C,C,D,C,B,C ,C ,C ,C ,C,Bronx
11,The Young Scholars Academy of The Bronx,Middle,C,D,D,C,B,C ,C ,C ,C ,C,Bronx
11,Globe School for Environmental Research,Middle,D,D,F,F,B,C ,D ,C ,C ,D,Bronx
11,P.S. 097 Bronx,Elementary,B,C,D,A,C,A ,C ,C ,A ,B,Bronx
11,P.S. 121 Throop,Elementary,B,A,C,B,A,C ,A ,C ,D ,B,Bronx
11,Bronx Green Middle School,Middle,C,D,D,C,D,B ,B ,C ,B ,C,Bronx
11,P.S. 076 The Bennington School,Elementary,A,B,C,A,A,B ,C ,C ,B ,A,Bronx
11,Cornerstone Academy for Social Action,Elementary,F,D,F,F,C,C ,F ,C ,B ,F,Bronx
11,J.H.S. 127 The Castle Hill,Middle,B,B,D,B,A,C ,C ,D ,C ,B,Bronx
11,P.S. 111 Seton Falls,Elementary,C,B,F,C,A,C ,F ,D ,C ,C,Bronx
11,P.S. 178 - Dr. Selman Waksman,Elementary,C,C,D,B,A,B ,C ,D ,A ,C,Bronx
11,School of Diplomacy,Middle,C,F,D,F,A,F ,F ,D ,F ,C,Bronx
11,P.S. 096 Richard Rodgers,Elementary,B,B,B,B,A,B ,B ,B ,B ,B,Bronx
11,P.S. 021 Philip H. Sheridan,Elementary,C,C,D,B,B,C ,D ,D ,C ,C,Bronx
11,P.S. 019 Judith K. Weiss,K-8,C,B,D,C,A,B ,B ,C ,B ,C,Bronx
11,P.S. 112 Bronxwood,Elementary,A,D,C,A,A,D ,C ,D ,F ,A,Bronx
11,P.S. 103 Hector Fontanez,Elementary,B,B,D,B,A,B ,C ,C ,B ,B,Bronx
11,P.S. 087 Bronx,Elementary,C,B,D,D,A,C ,D ,D ,C ,C,Bronx
11,P.S. 016 Wakefield,Elementary,C,C,D,F,A,B ,D ,D ,B ,C,Bronx
11,PS/MS 194,K-8,B,B,C,B,A,C ,B ,C ,C ,B,Bronx
11,The Forward School,Middle,B,B,D,B,A,B ,C ,C ,B ,B,Bronx
11,I.S. 181 Pablo Casals,Middle,B,B,B,A,A,B ,B ,B ,B ,B,Bronx
11,MS 142 John Philip Sousa,Middle,C,D,D,C,A,C ,D ,D ,B ,C,Bronx
12,Kappa III,Middle,A,A,B,A,A,A ,A ,B ,A ,A,Bronx
12,P.S. 196,Elementary,B,A,B,C,A,C ,A ,C ,F ,B,Bronx
12,Mott Hall V,Middle,A,A,B,A,A,B ,B ,B ,B ,A,Bronx
12,Frederick Douglass Academy V. Middle School,Middle,B,B,C,B,A,B ,A ,B ,B ,B,Bronx
12,Fannie Lou Hamer Middle School,Middle,A,C,C,A,A,C ,A ,D ,D ,A,Bronx
12,P.S. 067 Mohegan School,Elementary,C,D,C,C,A,B ,C ,C ,A ,C,Bronx
12,Accion Academy,Middle,A,B,C,A,A,C ,C ,C ,C ,A,Bronx
12,P.S. 195,Elementary,C,B,D,C,A,C ,C ,D ,B ,C,Bronx
12,Bronx Little School,Elementary,C,B,D,C,A,A ,B ,C ,A ,C,Bronx
12,P.S. 212,K-8,C,B,D,C,A,B ,B ,C ,A ,C,Bronx
12,P.S. 044 David C. Farragut,Elementary,B,B,D,A,A,C ,B ,C ,C ,B,Bronx
12,J.H.S. 098 Herman Ridder,Middle,A,B,C,A,A,C ,B ,C ,C ,A,Bronx
12,P.S. 050 Clara Barton,Elementary,D,F,D,C,B,C ,F ,D ,B ,D,Bronx
12,Bronx Latin,Middle,A,B,B,A,A,A ,A ,B ,A ,A,Bronx
12,Bronx Latin,High School,,,,,,A ,A ,B ,A ,A,Bronx
12,P.S. 102 Joseph O. Loretan,Elementary,C,F,F,B,B,,,,,C,Bronx
12,P.S. 134 George F. Bristow,Elementary,B,C,D,B,A,C ,C ,C ,C ,B,Bronx
12,P.S. 214,K-8,B,A,C,A,A,B ,A ,C ,B ,B,Bronx
12,E.S.M.T- I.S. 190,Middle,B,B,D,B,A,C ,B ,D ,D ,B,Bronx
12,New Day Academy,Middle,C,D,F,B,C,,,,,C,Bronx
12,P.S. 061 Francisco Oller,Elementary,C,A,D,D,A,D ,A ,D ,F ,C,Bronx
12,The School of Science and Applied Learning,Elementary,C,B,F,B,B,D ,A ,F ,D ,C,Bronx
12,"I.S. X318 Math, Science & Technology Through Arts",Middle,C,C,D,C,A,B ,B ,C ,B ,C,Bronx
12,P.S. 006 West Farms,Elementary,C,F,D,C,A,C ,F ,D ,C ,C,Bronx
12,P.S. 150 Charles James Fox,Elementary,A,A,B,A,A,B ,B ,C ,C ,A,Bronx
12,P.S. 129 Twin Parks Upper,Middle,B,B,C,B,A,B ,B ,B ,B ,B,Bronx
12,Urban Assembly School for Wildlife Conservation,Middle,C,C,F,F,A,D ,D ,D ,D ,C,Bronx
12,P.S. 212,K-8,C,B,D,C,A,A ,A ,B ,A ,B,Bronx
12,P.S. 198,Elementary,,,,,,,,,,,Bronx
12,New Day Academy,High School,F,D,F,F,D,,,,,C,Bronx
12,Entrada Academy,Middle,A,A,D,A,,C ,A ,D ,C ,A,Bronx
12,P.S. 066 School of Higher Expectations,Elementary,B,A,C,B,A,B ,A ,C ,B ,B,Bronx
12,Emolior Academy,Middle,B,B,C,B,,C ,A ,C ,C ,B,Bronx
12,School of Performing Arts,Middle,A,C,C,A,A,C ,C ,C ,C ,A,Bronx
12,P.S. 047 John Randolph,Elementary,C,A,D,F,A,B ,A ,C ,B ,C,Bronx
12,East Bronx Academy for the Future,High School,B,B,A,C,A,C ,B ,C ,C ,B,Bronx
12,P.S. 211,K-8,A,B,D,A,A,B ,B ,C ,A ,A,Bronx
12,P.S. 092 Bronx,Elementary,B,F,D,A,A,C ,F ,D ,C ,B,Bronx
12,East Bronx Academy for the Future,Middle,B,B,C,B,B,C ,B ,C ,C ,B,Bronx
12,P.S. 057 Crescent,Elementary,B,A,C,B,A,C ,C ,B ,C ,B,Bronx
13,M.S. 113 Ronald Edmonds Learning Center,Middle,C,C,C,C,A,D ,C ,D ,D ,C,Brooklyn
13,P.S. 009 Teunis G. Bergen,Elementary,C,B,C,D,A,C ,B ,C ,C ,C,Brooklyn
13,Satellite West Middle School,Middle,B,C,C,A,B,A ,C ,B ,A ,B,Brooklyn
13,M.S. 571,Middle,D,F,F,F,B,,,,,D,Brooklyn
13,Satellite East Middle School,Middle,D,C,D,D,B,B ,C ,C ,A ,D,Brooklyn
13,P.S. 011 Purvis J. Behan,Elementary,B,B,C,B,A,B ,B ,C ,B ,B,Brooklyn
13,P.S. 307 Daniel Hale Williams,Elementary,C,B,F,C,A,C ,B ,D ,C ,C,Brooklyn
13,P.S. 282 Park Slope,K-8,B,B,C,B,B,C ,D ,C ,C ,B,Brooklyn
13,Khalil Gibran International Academy,Middle,C,B,F,F,A,,,,,C,Brooklyn
13,P.S. 287 Bailey K. Ashford,Elementary,B,B,F,A,A,B ,B ,D ,B ,B,Brooklyn
13,P.S. 008 Robert Fulton,Elementary,C,B,D,F,A,C ,C ,B ,D ,C,Brooklyn
13,P.S. 054 Samuel C. Barnes,Elementary,C,C,D,C,A,C ,B ,D ,C ,C,Brooklyn
13,P.S. 133 William A. Butler,Elementary,C,B,C,C,A,B ,B ,C ,B ,C,Brooklyn
13,P.S. 093 William H. Prescott,Elementary,C,C,D,C,A,B ,C ,D ,B ,C,Brooklyn
13,P.S. 067 Charles A. Dorsey,Elementary,C,B,D,B,A,D ,A ,C ,F ,C,Brooklyn
13,P.S. 046 Edward C. Blum,Elementary,A,B,D,A,A,A ,D ,C ,A ,A,Brooklyn
13,P.S. 305 Dr. Peter Ray,Elementary,C,C,D,B,A,C ,D ,D ,B ,C,Brooklyn
13,Dr. Susan S. McKinney Secondary School of the Arts,Middle,C,C,D,D,A,B ,C ,C ,B ,C,Brooklyn
13,M.S. K266 - Park Place Community Middle School,Middle,C,C,F,F,A,C ,B ,D ,C ,C,Brooklyn
13,Academy of Business and Community Development,Middle,D,F,D,D,B,D ,F ,D ,D ,D,Brooklyn
13,Satellite Three,Middle,C,B,D,C,B,D ,D ,D ,D ,C,Brooklyn
13,P.S. 044 Marcus Garvey,Elementary,B,B,C,B,A,B ,C ,C ,B ,B,Brooklyn
13,P.S. 056 Lewis H. Latimer,Elementary,B,A,C,A,C,A ,A ,B ,A ,B,Brooklyn
13,Dr. Susan S. McKinney Secondary School of the Arts,High School,A,D,A,A,B,B ,C ,C ,B ,C,Brooklyn
13,P.S. 270 Johann DeKalb,Elementary,A,B,A,A,A,C ,B ,A ,D ,A,Brooklyn
13,Academy of Business and Community Development,High School,,,,,,D ,F ,D ,D ,D,Brooklyn
13,Urban Assembly Academy of Arts and Letters,Middle,B,B,C,C,B,B ,A ,C ,C ,B,Brooklyn
13,P.S. 256 Benjamin Banneker,Elementary,C,D,C,C,A,F ,D ,D ,F ,C,Brooklyn
13,P.S. 020 Clinton Hill,Elementary,C,B,F,D,A,B ,B ,C ,B ,C,Brooklyn
13,P.S. 003 The Bedford Village,Elementary,C,B,D,C,A,C ,C ,C ,C ,C,Brooklyn
14,P.S. 297 Abraham Stockton,Elementary,C,B,F,B,B,B ,B ,D ,B ,C,Brooklyn
14,Lyons Community School,High School,,,,,,B ,B ,D ,B ,C,Brooklyn
14,P.S. 380 John Wayne Elementary,Elementary,A,A,A,A,A,A ,A ,A ,A ,A,Brooklyn
14,P.S. 110 The Monitor,Elementary,C,A,C,F,A,C ,A ,C ,C ,C,Brooklyn
14,Conselyea Preparatory School,Middle,B,A,C,C,A,B ,A ,C ,C ,B,Brooklyn
14,P.S. 257 John F. Hylan,Elementary,A,A,B,A,A,A ,A ,A ,A ,A,Brooklyn
14,P.S. 059 William Floyd,Elementary,C,C,F,F,A,C ,C ,D ,B ,C,Brooklyn
14,P.S. 196 Ten Eyck,Elementary,A,A,B,B,A,C ,A ,B ,F ,A,Brooklyn
14,P.S. 019 Roberto Clemente,Elementary,D,A,F,D,B,F ,B ,F ,F ,D,Brooklyn
14,Lyons Community School,Middle,C,B,F,F,A,B ,B ,D ,B ,C,Brooklyn
14,P.S. 084 Jose De Diego,Elementary,C,A,F,D,A,B ,B ,D ,B ,C,Brooklyn
14,M.S. 582,Middle,B,B,C,B,A,D ,C ,C ,F ,B,Brooklyn
14,J.H.S. 050 John D. Wells,Middle,B,C,D,B,A,C ,C ,D ,B ,B,Brooklyn
14,P.S. 157 Benjamin Franklin,Elementary,B,A,C,B,A,B ,A ,C ,C ,B,Brooklyn
14,P.S. 017 Henry D. Woodworth,Elementary,A,B,C,A,A,C ,C ,C ,C ,A,Brooklyn
14,P.S. 023 Carter G. Woodson,Elementary,A,A,D,A,A,B ,A ,D ,C ,A,Brooklyn
14,P.S. 018 Edward Bush,Elementary,B,A,C,B,B,C ,B ,C ,D ,B,Brooklyn
14,Young Women's Leadership School of Brooklyn,Middle,C,A,D,C,,A ,A ,B ,A ,C,Brooklyn
14,P.S. 147 Isaac Remsen,Elementary,A,A,C,A,B,B ,A ,C ,C ,A,Brooklyn
14,Juan Morel Campos Secondary School,High School,C,B,B,C,C,C ,B ,D ,D ,B,Brooklyn
14,I.S. 318 Eugenio Maria De Hostos,Middle,C,A,D,D,A,C ,A ,D ,C ,C,Brooklyn
14,P.S. 120 Carlos Tapia,Elementary,C,A,D,C,A,A ,A ,C ,A ,C,Brooklyn
14,John Ericsson Middle School 126,Middle,B,C,D,B,B,D ,D ,D ,D ,B,Brooklyn
14,P.S. 031 Samuel F. Dupont,Elementary,A,A,A,A,A,A ,A ,A ,A ,A,Brooklyn
14,Juan Morel Campos Secondary School,Middle,B,B,D,B,A,C ,B ,D ,D ,B,Brooklyn
14,P.S. 034 Oliver H. Perry,Elementary,B,A,B,B,A,A ,A ,A ,A ,B,Brooklyn
14,P.S. 016 Leonard Dunkly,Elementary,C,B,D,F,A,C ,B ,C ,C ,C,Brooklyn
14,P.S. 132 The Conselyea School,Elementary,B,A,C,B,A,C ,A ,B ,F ,B,Brooklyn
14,P.S. 250 George H. Lindsay,Elementary,B,A,C,B,A,B ,B ,C ,B ,B,Brooklyn
15,P.S. 321 William Penn,Elementary,A,A,B,A,A,A ,A ,A ,B ,A,Brooklyn
15,P.S. 169 Sunset Park,Elementary,B,A,D,B,A,C ,B ,C ,D ,B,Brooklyn
15,P.S. 058 The Carroll,Elementary,A,B,D,A,A,B ,B ,C ,B ,A,Brooklyn
15,I.S. 136 Charles O. Dewey,Middle,C,B,D,B,A,B ,B ,D ,B ,C,Brooklyn
15,P.S. 295,Elementary,A,A,C,A,A,A ,A ,B ,A ,A,Brooklyn
15,The Children's School,Elementary,A,B,B,A,,A ,A ,A ,A ,A,Brooklyn
15,New Voices School of Academic & Creative Arts,Middle,A,A,A,A,A,A ,A ,A ,B ,A,Brooklyn
15,Brooklyn School for Global Studies,High School,F,D,C,F,C,B ,D ,B ,B ,B,Brooklyn
15,P.S. 261 Philip Livingston,Elementary,B,B,C,B,A,C ,B ,C ,F ,B,Brooklyn
15,P.S. 131 Brooklyn,Elementary,A,A,C,A,A,A ,A ,C ,B ,A,Brooklyn
15,School for International Studies,Middle,A,D,C,A,A,C ,C ,B ,C ,A,Brooklyn
15,RED HOOK NEIGHBORHOOD SCHOOL,K-3,,,,,,C ,B ,D ,B ,,Brooklyn
15,J.H.S. 088 Peter Rouget,Middle,B,B,C,B,A,A ,B ,B ,A ,B,Brooklyn
15,P.S. 015 Patrick F. Daly,Elementary,A,A,B,A,A,B ,A ,B ,B ,A,Brooklyn
15,Brooklyn School for Global Studies,Middle,B,D,C,B,A,B ,D ,B ,B ,B,Brooklyn
15,New Horizons School,Middle,B,A,C,A,A,B ,A ,C ,B ,B,Brooklyn
15,P.S. 094 The Henry Longfellow,Elementary,B,C,C,B,A,B ,C ,C ,B ,B,Brooklyn
15,P.S. 107 John W. Kimball,Elementary,A,B,B,A,A,B ,A ,B ,B ,A,Brooklyn
15,M.S. 51 William Alexander,Middle,A,B,B,B,A,A ,A ,A ,A ,A,Brooklyn
15,P.S. 039 Henry Bristow,Elementary,B,B,C,B,A,B ,A ,C ,C ,B,Brooklyn
15,Agnes Y. Humphrey School for Leadership,K-8,,,,,,,,,,,Brooklyn
15,P.S. 146,Elementary,B,A,C,B,A,A ,A ,B ,B ,B,Brooklyn
15,P.S. 172 Beacon School of Excellence,Elementary,A,A,A,A,A,A ,A ,A ,A ,A,Brooklyn
15,School for International Studies,High School,B,D,B,A,A,C ,C ,B ,C ,A,Brooklyn
15,P.S. 038 The Pacific,Elementary,C,D,D,D,A,C ,C ,C ,B ,C,Brooklyn
15,P.S. 032 Samuels Mills Sprole,Elementary,A,A,C,A,A,C ,B ,C ,F ,A,Brooklyn
15,P.S. 024,Elementary,C,A,D,B,A,B ,A ,D ,B ,C,Brooklyn
