DISTRICT,SCHOOL,SCHOOL.LEVEL..x,X2009.2010.OVERALL.GRADE,X2009.2010.ENVIRONMENT.GRADE,X2009.2010.PERFORMANCE.GRADE,X2009.2010.PROGRESS.GRADE,X2008.2009.PROGRESS.REPORT.GRADE,X2010.2011.OVERALL.GRADE,X2010.2011.ENVIRONMENT.GRADE,X2010.2011.PERFORMANCE.GRADE,X2010.2011.PROGRESS.GRADE,X2009.2010.PROGRESS.REPORT.GRADE,BOROUGH
2,M.S. 260 Clinton School Writers & Artists,Middle,A,A,A,A,A,B ,B ,A ,B ,A,Manhattan
2,P.S. 130 Hernando De Soto,Elementary,A,A,A,A,A,A ,A ,A ,A ,A,Manhattan
2,P.S./I.S. 217 Roosevelt Island,K-8,B,B,C,B,B,D ,C ,C ,D ,B,Manhattan
2,I.S. 289,Middle,B,A,B,B,B,B ,A ,A ,B ,B,Manhattan
2,Institute for Collaborative Education,Middle,C,A,F,F,B,B ,A ,C ,C ,C,Manhattan
2,P.S. 124 Yung Wing,Elementary,A,B,A,A,A,A ,B ,A ,B ,A,Manhattan
2,P.S. 198 Isador E. Ida Straus,Elementary,B,C,C,B,B,C ,F ,C ,C ,B,Manhattan
2,P.S. 290 Manhattan New School,Elementary,A,A,B,A,A,A ,A ,A ,A ,A,Manhattan
2,P.S. 002 Meyer London,Elementary,A,B,B,A,A,A ,A ,B ,A ,A,Manhattan
2,P.S. 150,Elementary,B,A,C,B,A,C ,A ,B ,F ,B,Manhattan
2,P.S. 111 Adolph S. Ochs,K-8,B,C,D,A,A,C ,C ,D ,C ,B,Manhattan
2,Life Sciences Secondary School,Middle,C,D,D,C,B,C ,C ,D ,C ,C,Manhattan
3,Frederick Douglass Academy II Secondary School,High School,C,C,A,D,C,F ,F ,F ,F ,C,Manhattan
3,P.S. 208 Alain L. Locke,Elementary,C,A,D,C,A,D ,B ,D ,F ,C,Manhattan
3,WEST PREP ACADEMY,Middle,,,,,,C ,D ,D ,C ,,Manhattan
3,Community Action School - MS 258,Middle,A,A,B,A,A,A ,A ,B ,B ,A,Manhattan
3,"P.S. 145, The Bloomingdale School",Elementary,B,D,D,A,A,C ,C ,D ,B ,B,Manhattan
3,P.S. 241 Family Academy,K-8,C,B,F,B,A,B ,A ,D ,B ,C,Manhattan
3,P.S. 009 Sarah Anderson,Elementary,B,A,A,B,A,A ,A ,A ,B ,B,Manhattan
3,M.S. 256 Academic & Athletic Excellence,Middle,C,B,D,C,A,B ,B ,D ,B ,C,Manhattan
3,Frederick Douglass Academy II Secondary School,Middle,C,D,D,F,A,F ,F ,F ,F ,C,Manhattan
3,J.H.S. 054 Booker T. Washington,Middle,B,B,B,B,A,B ,B ,B ,B ,B,Manhattan
3,P.S. 185 John M. Langston,K-2,C,A,F,F,,C ,B ,C ,C ,C,Manhattan
3,P.S. 199 Jessie Isador Straus,Elementary,A,B,B,A,A,A ,B ,A ,A ,A,Manhattan
3,P.S. 191 Amsterdam,K-8,C,C,F,C,A,C ,D ,D ,C ,C,Manhattan
3,P.S. 084 Lillian Weber,Elementary,C,D,F,C,A,F ,D ,D ,F ,C,Manhattan
3,P.S. 149 Sojourner Truth,K-8,B,B,D,B,A,C ,C ,D ,C ,B,Manhattan
3,J.H.S. M044 William J. O'Shea,Middle,,,,,,,,,,,Manhattan
3,M.S. M245 The Computer School,Middle,B,A,C,C,A,B ,A ,B ,C ,B,Manhattan
3,M.S. M247 Dual Language Middle School,Middle,A,A,B,A,A,A ,A ,B ,A ,A,Manhattan
3,P.S. 076 A. Philip Randolph,Elementary,C,D,F,C,A,B ,A ,C ,B ,C,Manhattan
3,M.S. 250 West Side Collaborative Middle School,Middle,A,A,B,A,A,B ,A ,B ,C ,A,Manhattan
3,P.S. 087 William Sherman,Elementary,B,C,C,B,A,B ,D ,B ,C ,B,Manhattan
3,Mott Hall II,Middle,A,A,B,A,A,A ,A ,A ,A ,A,Manhattan
3,P.S. 333 Manhattan School for Children,K-8,C,B,F,D,B,B ,B ,C ,C ,C,Manhattan
3,P.S. 075 Emily Dickinson,Elementary,C,C,D,B,A,C ,B ,C ,C ,C,Manhattan
3,The Anderson School,K-8,A,A,A,A,A,A ,A ,A ,A ,A,Manhattan
3,P.S. 165 Robert E. Simon,K-8,B,B,D,B,A,A ,A ,C ,A ,B,Manhattan
3,P.S. 180 Hugo Newman,K-8,C,A,C,D,A,B ,A ,C ,B ,C,Manhattan
3,M.S. 243 Center School,Middle,B,A,B,C,A,B ,A ,A ,D ,B,Manhattan
3,Special Music School,K-8,A,B,A,A,,A ,B ,A ,A ,A,Manhattan
3,P.S. 163 Alfred E. Smith,Elementary,C,B,C,C,A,C ,B ,B ,F ,C,Manhattan
4,GLOBAL TECHNOLOGY PREPARATORY,Middle,,,,,,A ,A ,B ,A ,,Manhattan
4,Tag Young Scholars,K-8,A,A,A,B,A,B ,A ,A ,B ,A,Manhattan
4,Central Park East II,Elementary,B,A,D,B,A,A ,A ,C ,A ,B,Manhattan
4,River East Elementary,Elementary,B,A,C,A,A,C ,A ,C ,C ,B,Manhattan
4,P.S. 083 Luis Munoz Rivera,Elementary,A,A,A,A,A,A ,A ,A ,A ,A,Manhattan
4,J.H.S. 013 Jackie Robinson,Middle,C,D,D,D,A,C ,D ,D ,C ,C,Manhattan
4,P.S. 102 Jacques Cartier,Elementary,A,A,B,A,B,B ,A ,C ,C ,A,Manhattan
4,P.S. 050 Vito Marcantonio,K-8,C,C,D,D,A,C ,D ,D ,C ,C,Manhattan
4,Central Park East I,Elementary,C,A,F,F,A,C ,A ,C ,D ,C,Manhattan
4,P.S. 155 William Paca,Elementary,B,A,D,B,A,B ,B ,D ,B ,B,Manhattan
4,P.S. 38 Roberto Clemente,Elementary,C,C,D,C,A,B ,D ,D ,A ,C,Manhattan
4,P.S. 206 Jose Celso Barbosa,Elementary,C,B,C,C,A,D ,B ,B ,F ,C,Manhattan
4,P.S. 171 Patrick Henry,K-8,A,A,A,A,A,B ,A ,B ,C ,A,Manhattan
4,Young Women's Leadership School,Middle,C,A,D,F,B,B ,A ,C ,C ,C,Manhattan
4,Mosaic Preparatory Academy,Elementary,B,B,F,A,,D ,A ,D ,F ,B,Manhattan
4,The Bilingual Bicultural School,Elementary,A,A,A,A,A,B ,A ,B ,C ,A,Manhattan
4,P.S. 146 Ann M. Short,Elementary,C,C,F,D,A,A ,C ,D ,A ,C,Manhattan
4,The Lexington Academy,Elementary,A,A,C,B,A,D ,A ,C ,F ,A,Manhattan
4,Isaac Newton Middle School for Math & Science,Middle,C,B,D,F,A,D ,B ,D ,D ,C,Manhattan
4,Global Neighborhood Secondary School,Middle,C,B,F,B,,B ,B ,D ,B ,C,Manhattan
4,P.S. 007 Samuel Stern,K-8,A,B,C,A,A,C ,C ,C ,C ,A,Manhattan
4,P.S. 096 Joseph Lanzetta,K-8,C,D,D,C,A,B ,C ,D ,B ,C,Manhattan
4,P.S. 112 Jose Celso Barbosa,K-2,B,A,B,A,,A ,A ,B ,B ,B,Manhattan
4,James Weldon Johnson,K-8,A,A,A,A,A,A ,A ,A ,B ,A,Manhattan
4,Renaissance School of the Arts,Middle,A,B,C,A,,D ,B ,D ,F ,A,Manhattan
4,ESPERANZA PREPARATORY ACADEMY,Middle,A,A,D,A,,A ,A ,C ,A ,A,Manhattan
4,Young Women's Leadership School,High School,A,A,A,B,A,B ,A ,C ,C ,C,Manhattan
4,M.S. 45/S.T.A.R.S. Prep Academy,Middle,C,B,F,C,B,C ,C ,D ,C ,C,Manhattan
5,Academy of Collaborative Education,Middle,F,D,F,F,D,,,,,F,Manhattan
5,P.S. 092 Mary McLeod Bethune,Elementary,B,A,D,C,B,B ,B ,C ,B ,B,Manhattan
5,Kappa II,Middle,D,D,D,D,D,,,,,D,Manhattan
5,P.S. 046 Arthur Tappan,Elementary,C,B,C,C,A,B ,A ,C ,B ,C,Manhattan
